name,kind,seed,n_symbols,offset,register_r,pair_00,pair_01,pair_10,pair_11,pair_((,pair_(),pair_)(,pair_))
a_seed0,a,0,64,4,0.2533970175874142,-22.61620529102561,-7.395589132691571,19.287991736989774,34.02524821550797,,,,
a_seed1,a,1,64,4,0.11865166937882579,-27.779362245049114,-15.87677322995302,20.284306054189706,18.80271843707946,,,,
a_seed2,a,2,64,4,0.24296623977071496,-23.835033901559747,-5.352425818902985,32.57889739373624,16.62546816827662,,,,
a_seed3,a,3,64,4,0.18785812365360496,-15.845791908798644,-6.634384906192083,15.416048751044668,36.60198823154051,,,,
a_seed4,a,4,64,4,0.22244785099861678,-18.36694990627604,-18.153002021602273,10.674125171255717,25.007528888056182,,,,
a_seed5,a,5,64,4,0.3386847758302367,-25.372362810721732,-12.573121650982552,12.777930191820456,25.025527647282054,,,,
a_seed6,a,6,64,4,0.22675958437876267,-27.697843732050295,-5.972296787035556,16.754877074764863,21.983075587901666,,,,
a_seed7,a,7,64,4,0.20522349062097542,-25.720569267165146,-16.181410930561036,8.301748572324838,26.055223847347328,,,,
a_seed8,a,8,64,4,0.1835475042763569,-20.709423120045404,-14.654166312753935,6.242115852673005,26.603905053517682,,,,
a_seed9,a,9,64,4,0.30252640612836107,-33.92932188674716,-14.566512733049152,9.675060350394668,22.64299647278866,,,,
a_seed10,a,10,64,4,0.305221679473666,-28.049776385825275,-13.472279747122975,12.958829860331527,26.944291337774363,,,,
a_seed11,a,11,64,4,0.40674419319539096,-26.418946939209825,-15.45031181300512,16.36766590255826,24.840427840301565,,,,
a_seed12,a,12,64,4,0.3712434168821729,-25.88515250556774,-18.76348034150995,9.740598353504117,28.192501423485368,,,,
a_seed13,a,13,64,4,0.2631689818474808,-18.291888621159153,-17.360007405145144,13.409082666647052,16.70610402219815,,,,
a_seed14,a,14,64,4,0.38568378563752526,-36.46824770521756,-14.147033259919379,12.215172855573064,29.213510185980176,,,,
a_seed15,a,15,64,4,0.2831188354775456,-27.790422468426964,-13.225069490138283,10.501812257571087,23.19405335313386,,,,
b_bal_seed0,b_bal,0,64,4,0.3642494207470502,,,,,41.12588155208568,14.678633846905523,-14.89487133275883,-39.31442541809293
b_bal_seed1,b_bal,1,64,4,0.0217334005633539,,,,,19.95678009747321,28.266024519801686,-18.09570373458112,-26.242713417199752
b_bal_seed2,b_bal,2,64,4,0.27132722858371716,,,,,25.426927920354817,28.481611191336476,-15.035460564769743,-33.44493859277331
b_bal_seed3,b_bal,3,64,4,0.30395717578659914,,,,,40.593956581408854,11.271108362099657,-14.486597815971322,-31.780138331896577
