bank,tag,family,correct,n_tokens,start,depth_frac,pr,cos_consecutive,contraction,step_norm,pre_floor
ds_bank,trained_track_n4_ns128_seed0,track,False,22,0,0.0,8.412417029357924,0.12600230854910868,0.8359219709522089,25.411451375236474,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,4,0.05194805194805195,6.946448325644725,0.2838121762343585,0.8286472172737799,12.399267235100359,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,8,0.1038961038961039,6.096390365463434,0.39960804327888705,0.8184516770480251,5.674021297736818,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,12,0.15584415584415584,5.530216027010212,0.44944581694079644,0.8325578904123792,2.3258435745354524,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,16,0.2077922077922078,4.824243780073737,0.4984793727468485,0.854452811546756,1.320209947071834,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,20,0.2597402597402597,3.866309832185681,0.5984650947231613,0.8581154172187672,0.6804783173087949,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,24,0.3116883116883117,2.5576944721757036,0.7458752647443118,0.8724692732203138,0.37466012772705237,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,28,0.36363636363636365,1.665704796928207,0.8600926980660322,0.8857335278749803,0.22127906975143985,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,32,0.4155844155844156,1.3165043524557143,0.9228820153385197,0.8927050840932349,0.14283704638106165,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,36,0.4675324675324675,1.188249028984436,0.9512284614405904,0.891445480889119,0.09268384211585465,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,40,0.5194805194805194,1.1098814454257548,0.9711650093928715,0.8857332741910546,0.05805369738849544,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,44,0.5714285714285714,1.0549131663963311,0.9859370923866986,0.8821842815179911,0.03500427300054239,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,48,0.6233766233766234,1.0238024478901282,0.993825932038591,0.8793335972243225,0.021061190008635742,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,52,0.6753246753246753,1.0100037581625072,0.9973055398613646,0.8765472628961866,0.012447951795557723,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,56,0.7272727272727273,1.0051861945428866,0.9984142771932834,0.8748307523615415,0.007341750472402833,89
ds_bank,trained_track_n4_ns128_seed0,track,False,22,60,0.7792207792207793,1.0041380835329918,0.9981749978837329,0.8735228222872818,0.004296043088530093,89
