tag,kind,n_ops,n_tokens,n_steps,n_eigs,rho_arnoldi,arg_lead,rate_over_arg,own_cos_consecutive,own_pr,own_contraction,own_cos_lo,own_cos_hi,own_pr_lo,own_pr_hi,swap_cos_consecutive,swap_pr,swap_contraction,swap_cos_lo,swap_cos_hi,swap_pr_lo,swap_pr_hi,wide_cos_consecutive,wide_pr,wide_contraction,wide_cos_lo,wide_cos_hi,wide_pr_lo,wide_pr_hi,real_cos_consecutive,real_pr,real_contraction,iso_pr,iso_cos,cos_in_band,pr_in_band,cos_discriminating,pr_discriminating
trained_track_n4_ns128_seed0,track,4,22,89,8,0.8255204370662785,1.1007106220163703,0.1025729314084035,0.48211958482136996,2.4875707495091506,0.8220101725661157,0.45577704754829124,0.599754939943096,2.044924342812717,4.229605655400976,0.8427589926043775,1.6657004289631168,0.8498158863534226,0.6501668545167775,0.9732539217396396,1.2214931219546463,3.312335338003769,0.4673105082635686,2.60283319253989,0.8199785363477283,0.4243425767403574,0.5397754136729469,2.1047775876468737,4.573817016991947,0.7528569701620018,2.304162125928655,0.87090188123739,87.54260044865282,-0.00044153356643159307,False,True,True,True
trained_local_n4_ns128_seed0,local,4,25,96,8,0.8679838626491903,0.3401489106583884,0.43496326984162925,0.8569775307573393,1.6029752281635736,0.8521503882396905,0.7118472033912968,0.9752041469084038,1.246991924596254,3.0206783136700506,0.4603122571411908,2.8863394086033916,0.811136184338531,0.2758908461597823,0.6547119686993788,2.106787946271547,5.067225828614078,0.8627082453714267,1.6259481658402808,0.8513015853691949,0.6790590475236912,0.9610830877398581,1.2454399360826542,2.8296400793480068,0.8093703481955485,2.2540492070353197,0.881267355773678,94.30442526149741,-0.0007246166695120302,True,True,True,True
trained_track_n8_ns128_seed0,track,8,34,107,8,0.8160885593827845,1.0756140618092387,0.240817666701189,0.4532650828330027,2.8178467875777518,0.811328489113053,0.29655916487258954,0.6759431533150635,2.096003872174333,4.674429949008477,0.917169113189876,3.166123614324209,0.8018923555819402,0.8569229280423437,0.9342957214491231,2.079399407182072,4.7053332162551325,0.4636080939852588,2.906970928696361,0.8106345820583805,0.2955459775871494,0.6572913662320428,2.107355390154615,5.184164461867076,0.8080656839524586,1.9126142075698265,0.8986508198875214,104.8920049691344,-0.0006526532424741592,False,False,True,True
trained_local_n8_ns128_seed0,local,8,37,92,8,0.8087307088194514,0.3673327778233396,0.2438211304732087,0.9157527275585157,3.154653867942997,0.8010551710019099,0.8315692907838612,0.93810156933487,2.1434492773386626,4.8035431957956565,0.5564165615866843,3.1221113747191147,0.8034024414590741,0.48651032964733487,0.8782512429660212,1.8663940914519266,6.025037887654053,0.8913722433175342,3.481386004484341,0.7988959773506488,0.8208945536930924,0.9359967876671452,2.2575193041735204,6.362525736905328,0.7972422572987967,2.498243938806244,0.8720398827072594,90.43458156653132,-0.0007354338641255708,False,True,True,True
trained_track_n16_ns128_seed0,track,16,58,91,8,0.8080188383852197,1.0687674560835603,0.10154621661725917,0.5615970224401972,3.1807477410799265,0.8033284429780325,0.4903234085529101,0.8661699771670606,2.108609062277793,6.047888566729834,0.8684311773470743,3.5008634431312995,0.7913380543429493,0.80523651892179,0.9124446070265669,2.1322920983808418,4.5342299659884056,0.5339229711947382,3.3379275277093083,0.8017150413739568,0.42532114233055796,0.7847089796050463,2.147983953169391,5.640549690657975,0.7997562714619573,2.048797184376976,0.9211809648002899,89.46555940067498,-0.0007083440423250125,True,False,True,True
trained_local_n16_ns128_seed0,local,16,61,107,8,0.8011200368992037,0.4240074853222909,1.269692426155541,0.868698851010038,3.718774592766164,0.7928667928541668,0.8074611795291028,0.9122620215203869,2.1163896581050743,4.64276668199834,0.7582471245656293,3.305112893019427,0.791367632656035,0.5707778669186065,0.9375650242308053,1.8307177666426282,6.055226061192584,0.8201159895015601,3.8438149542421343,0.7904356066320477,0.7388942766687621,0.8701616794086685,2.4173127064016215,4.517843695383291,0.6337213376342471,3.613992662892399,0.8948079941091719,104.8920049691344,-0.0006526532424741592,False,True,True,True
trained_track_n32_ns128_seed0,track,32,106,64,8,0.8097900397239425,0.788916770250553,0.030026745041094788,0.7129710847981197,3.867597929602292,0.7857204773641133,0.5602449710014403,0.9004137202180265,2.1428027984985922,6.495775465002502,0.4931712010369341,2.556340906231466,0.8205750913685006,0.4567326666225972,0.649375262072231,2.0564101344739054,4.4711082052906965,0.6625399698667069,4.074687626398925,0.7844407133113731,0.5169749776737714,0.8525722496172254,1.9176137041232897,7.556496471026391,0.36606830604567625,6.056247541553573,0.8883695196025846,63.23737686990752,-0.0004461615523417515,False,True,True,True
