active_len,irrelevant_len,neutral_len,total_len,modulus,seq_len,winding,steps_settle,answer_target
18,0,6,24,2,42,0.6060829628337291,17,0
18,0,6,24,5,42,0.6078213720286997,17,3
18,0,6,24,5,42,0.6127181375831086,17,3
18,0,6,24,5,42,0.6080883436376451,17,3
18,3,3,24,2,42,0.5987255433813742,17,0
18,3,3,24,2,42,0.6026286901996118,17,0
18,3,3,24,2,42,0.6003861722655306,17,0
18,3,3,24,5,42,0.5999492178370988,17,3
18,3,3,24,5,42,0.6057089291351658,17,3
18,3,3,24,5,42,0.6026498715175355,17,3
18,6,0,24,2,42,0.6044288385272432,16,0
18,6,0,24,2,42,0.616392997049082,15,0
18,6,0,24,2,42,0.6020712259769947,16,0
18,6,0,24,5,42,0.6065491576564463,16,3
18,6,0,24,5,42,0.6157576023961092,15,3
18,6,0,24,5,42,0.6039209919940264,16,3
