name,start,n,r_correct_window,r_buggy_window,cos_v_residual_contrast
a_seed0,3,64,-0.11940491740032594,0.2533970175874142,0.985981888941648
a_seed1,3,64,0.002338612715352861,0.11865166937882579,0.9588307075775142
a_seed2,3,64,0.050449188515841674,0.24296623977071496,0.9565222639140212
a_seed3,3,64,-0.07410449920987737,0.18785812365360496,0.9788943764022927
a_seed4,3,64,0.15409311694905192,0.22244785099861678,0.9603900302705197
a_seed5,3,64,0.3303280333380764,0.3386847758302367,0.9598182276336
a_seed6,3,64,-0.09127716407121465,0.22675958437876267,0.9813151340203088
a_seed7,3,64,0.1374034142547064,0.20522349062097542,0.9774281234546215
a_seed8,3,64,-0.011637789920107921,0.1835475042763569,0.9660980505830525
a_seed9,3,64,-0.2039920830905434,0.30252640612836107,0.9820288313220682
a_seed10,3,64,0.12726064497908846,0.305221679473666,0.9852287354272531
a_seed11,3,64,0.2053971821256136,0.40674419319539096,0.9779748806497081
a_seed12,3,64,0.02039206142088174,0.3712434168821729,0.9806311048592387
a_seed13,3,64,0.003026160350701082,0.2631689818474808,0.9771714510708583
a_seed14,3,64,0.11687761004062557,0.38568378563752526,0.9849876433322965
a_seed15,3,64,0.12867708415315207,0.2831188354775456,0.9679509292917874
