file,family,num_steps,n_ops,floor_frac,window_lo,window_hi,n_steps,ambient,pr,null_mean,null_sd,z,ratio,cos_consecutive
count_ones_n16_ns128_init0.npy,count_ones,128,16,2.0,0,23,23,5280,15.075728830983117,22.904989265816475,0.009138584098839546,-856.725763001683,0.6581853698347815,0.27216002490795205
count_ones_n16_ns128_init1.npy,count_ones,128,16,2.0,0,21,21,5280,14.838423547516634,20.919456212671992,0.0069405654821520675,-876.1580999117391,0.7093121062357365,0.16806041728948545
count_ones_n16_ns128_init2.npy,count_ones,128,16,2.0,0,22,22,5280,13.885192923410248,21.914697148349525,0.008992158692392978,-892.9451202559326,0.6336018622304344,0.12981058568213574
count_ones_n16_ns128_init3.npy,count_ones,128,16,2.0,0,21,21,5280,16.54661824955963,20.919456212671992,0.0069405654821520675,-630.0405888190646,0.7909678952140491,0.1109093751479426
count_ones_n16_ns128_init4.npy,count_ones,128,16,2.0,0,21,21,5280,15.293236534384953,20.919456212671992,0.0069405654821520675,-810.6284268558637,0.7310532539139832,0.17171066117838402
count_ones_n16_ns64_init0.npy,count_ones,64,16,2.0,0,22,22,5280,13.250319987797091,21.914697148349525,0.008992158692392978,-963.5480708188752,0.6046316724388328,0.4168061584581905
count_ones_n16_ns64_init1.npy,count_ones,64,16,2.0,0,23,23,5280,12.186602305712201,22.904989265816475,0.009138584098839546,-1172.871732007734,0.5320501207961511,0.44709813266074927
count_ones_n16_ns64_init2.npy,count_ones,64,16,2.0,0,23,23,5280,11.449816561285934,22.904989265816475,0.009138584098839546,-1253.4953533978164,0.4998830791147193,0.4613905832219279
count_ones_n16_ns64_init3.npy,count_ones,64,16,2.0,0,24,24,5280,11.610215755109536,23.89758097448345,0.007304702135578562,-1682.1172159131038,0.48583225923604145,0.48283291911309056
count_ones_n16_ns64_init4.npy,count_ones,64,16,2.0,0,23,23,5280,12.669452044160849,22.904989265816475,0.009138584098839546,-1120.0353480311437,0.5531306693545937,0.4567623544350068
count_ones_n24_ns128_init0.npy,count_ones,128,24,2.0,0,21,21,5280,14.998006965809669,20.919456212671992,0.0069405654821520675,-853.1652445452116,0.7169405750004441,0.17585014489694517
count_ones_n24_ns128_init1.npy,count_ones,128,24,2.0,0,22,22,5280,13.616054638816122,21.914697148349525,0.008992158692392978,-922.8754510920428,0.6213206847734876,0.1904952130764335
count_ones_n24_ns128_init2.npy,count_ones,128,24,2.0,0,26,26,5280,12.887677659567617,25.876184687230182,0.012997908143072164,-999.2767208918452,0.4980516956167671,0.05939246935667332
count_ones_n24_ns128_init3.npy,count_ones,128,24,2.0,0,22,22,5280,17.776763577236057,21.914697148349525,0.008992158692392978,-460.17132400187745,0.811179979212028,0.08481687122744584
count_ones_n24_ns128_init4.npy,count_ones,128,24,2.0,0,22,22,5280,15.755149179668166,21.914697148349525,0.008992158692392978,-684.9910215543795,0.7189307282238552,0.1522394764225643
count_ones_n24_ns64_init0.npy,count_ones,64,24,2.0,0,21,21,5280,10.809328797958518,20.919456212671992,0.0069405654821520675,-1456.6720018292542,0.5167117485305737,0.4575376219944626
count_ones_n24_ns64_init1.npy,count_ones,64,24,2.0,0,24,24,5280,10.844342636837101,23.89758097448345,0.007304702135578562,-1786.9638070618576,0.45378411515442113,0.483537279704717
count_ones_n24_ns64_init2.npy,count_ones,64,24,2.0,0,24,24,5280,10.916147705133108,23.89758097448345,0.007304702135578562,-1777.1338281026513,0.45678881543654076,0.47730258668438075
count_ones_n24_ns64_init3.npy,count_ones,64,24,2.0,0,24,24,5280,11.155571966989514,23.89758097448345,0.007304702135578562,-1744.3570964286441,0.466807581022566,0.4588310796469716
count_ones_n24_ns64_init4.npy,count_ones,64,24,2.0,0,23,23,5280,10.982735624604114,22.904989265816475,0.009138584098839546,-1304.606218235306,0.47949097452731865,0.48376071372448237
count_ones_n2_ns128_init0.npy,count_ones,128,2,2.0,0,16,16,5280,12.011781172610727,15.954682841261098,0.0037446564568305233,-1052.9408275779838,0.7528686901595146,0.14496185638863207
count_ones_n2_ns128_init1.npy,count_ones,128,2,2.0,0,16,16,5280,12.78854295147496,15.954682841261098,0.0037446564568305233,-845.5087739786837,0.8015541943837301,0.03556865785628977
count_ones_n2_ns128_init2.npy,count_ones,128,2,2.0,0,16,16,5280,12.78854295147496,15.954682841261098,0.0037446564568305233,-845.5087739786837,0.8015541943837301,0.03556865785628977
count_ones_n2_ns128_init3.npy,count_ones,128,2,2.0,0,16,16,5280,12.78854295147496,15.954682841261098,0.0037446564568305233,-845.5087739786837,0.8015541943837301,0.03556865785628977
count_ones_n2_ns128_init4.npy,count_ones,128,2,2.0,0,16,16,5280,10.25004007001126,15.954682841261098,0.0037446564568305233,-1523.4088459154002,0.6424471217630967,0.20675275002198765
count_ones_n2_ns64_init0.npy,count_ones,64,2,2.0,0,18,18,5280,12.614250287727032,17.94260572443651,0.006589578150493082,-808.6034211933235,0.7030333543219617,0.2533564101930823
count_ones_n2_ns64_init1.npy,count_ones,64,2,2.0,0,18,18,5280,12.103589346239351,17.94260572443651,0.006589578150493082,-886.0986613779276,0.6745725527343641,0.33670761369687335
count_ones_n2_ns64_init2.npy,count_ones,64,2,2.0,0,18,18,5280,12.103589346239351,17.94260572443651,0.006589578150493082,-886.0986613779276,0.6745725527343641,0.33670761369687335
count_ones_n2_ns64_init3.npy,count_ones,64,2,2.0,0,18,18,5280,12.103589346239351,17.94260572443651,0.006589578150493082,-886.0986613779276,0.6745725527343641,0.33670761369687335
count_ones_n2_ns64_init4.npy,count_ones,64,2,2.0,0,18,18,5280,12.663033800266938,17.94260572443651,0.006589578150493082,-801.2002898508027,0.7057522187549836,0.2839880725497273
count_ones_n32_ns128_init0.npy,count_ones,128,32,2.0,0,22,22,5280,15.443226297761672,21.914697148349525,0.008992158692392978,-719.6793419651801,0.7046972263965217,0.1994657748929082
count_ones_n32_ns128_init1.npy,count_ones,128,32,2.0,0,22,22,5280,16.82712794938623,21.914697148349525,0.008992158692392978,-565.778404607915,0.7678467028531828,0.058212255969810306
count_ones_n32_ns128_init2.npy,count_ones,128,32,2.0,0,25,25,5280,13.418352807325597,24.88561808193411,0.010100851373965387,-1135.2771019049949,0.5392011065647088,0.0960053273941595
count_ones_n32_ns128_init3.npy,count_ones,128,32,2.0,0,21,21,5280,16.106530019824127,20.919456212671992,0.0069405654821520675,-693.4487118123863,0.769930626115777,0.14935972047144486
count_ones_n32_ns128_init4.npy,count_ones,128,32,2.0,0,22,22,5280,16.18649663200049,21.914697148349525,0.008992158692392978,-637.0217333013564,0.7386137495958759,0.13688831786531264
count_ones_n32_ns64_init0.npy,count_ones,64,32,2.0,0,23,23,5280,12.015967452438932,22.904989265816475,0.009138584098839546,-1191.5436456682905,0.5246004402355964,0.45270233483678923
count_ones_n32_ns64_init1.npy,count_ones,64,32,2.0,0,26,26,5280,11.017556737411432,25.876184687230182,0.012997908143072164,-1143.1553282470566,0.4257797998654942,0.5051071186718867
