tag,block,family,item,gold,correct,best_rank,best_depth,n_tokens,h0_seed,state_sha,natural_window,log_rank,window_k,window,pr,cos_consecutive,contraction,settle
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,40.0,40,5.943567858732276,0.003634381552532745,0.874195451416023,33.0
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,,48,5.502178336966464,0.0071070516666149565,0.8744010252339962,33.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,10.0,10,7.935030134828567,0.07191128540055183,0.8527200562678312,10.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,20.0,20,8.619263483671777,0.0235505426419961,0.867197859952549,20.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,30.0,30,7.210177737683115,0.01699086810550887,0.8625040856565216,30.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,40.0,40,7.341742491085065,0.07701978200120352,0.8618253503347573,31.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,,49,7.694814603959859,0.14263832610330757,0.8627856935886785,31.0
echo_digit_i08,main,echo_digit,8,5,True,1,4,21,,37c185d4cf46620f,48,0.0,10.0,10,8.041252053832,0.19174832490466265,0.841314051691568,10.0
echo_digit_i08,main,echo_digit,8,5,True,1,4,21,,37c185d4cf46620f,48,0.0,20.0,20,12.070978332044149,0.17123395045176074,0.854138412974848,20.0
echo_digit_i08,main,echo_digit,8,5,True,1,4,21,,37c185d4cf46620f,48,0.0,30.0,30,11.246719080673623,0.17665865374057818,0.8572166358371615,30.0
echo_digit_i08,main,echo_digit,8,5,True,1,4,21,,37c185d4cf46620f,48,0.0,40.0,40,11.124301092676944,0.24860937473962302,0.8599127467013667,30.0
echo_digit_i08,main,echo_digit,8,5,True,1,4,21,,37c185d4cf46620f,48,0.0,,48,10.453509580939022,0.3165128808945077,0.86313627895076,30.0
echo_digit_i09,main,echo_digit,9,2,True,1,3,21,,e56ae86f9f19e1ea,48,0.0,10.0,10,7.977786878958589,0.14030792446116283,0.8458720120710289,10.0
echo_digit_i09,main,echo_digit,9,2,True,1,3,21,,e56ae86f9f19e1ea,48,0.0,20.0,20,11.93457983666983,0.15918638898325374,0.8543337372919161,20.0
echo_digit_i09,main,echo_digit,9,2,True,1,3,21,,e56ae86f9f19e1ea,48,0.0,30.0,30,11.41347168466685,0.16520875162541526,0.854653256617864,30.0
echo_digit_i09,main,echo_digit,9,2,True,1,3,21,,e56ae86f9f19e1ea,48,0.0,40.0,40,10.381259789363524,0.18509827381793206,0.8542929735395457,30.0
echo_digit_i09,main,echo_digit,9,2,True,1,3,21,,e56ae86f9f19e1ea,48,0.0,,48,9.780274176116428,0.20374996481107255,0.8542596028658329,30.0
echo_digit_i10,main,echo_digit,10,1,True,1,3,21,,a64e6515aa90b6bc,48,0.0,10.0,10,8.01733896153424,0.1452990619430246,0.8348084355656648,10.0
