task,n_ops,seq_len,winding,shape,steps_settle,mean_normed_accel
count_ones,2,18,0.6251942412715993,settle,13,0.6602286696434021
count_ones,2,18,0.6436316989276686,settle,12,0.647428572177887
count_ones,4,20,0.6237434527266353,settle,13,0.6748562455177307
count_ones,4,20,0.6297524310887442,settle,13,0.652922511100769
projection,2,24,0.6590472128208466,settle,12,0.6220632195472717
projection,2,24,0.656632993979088,settle,12,0.6181461215019226
projection,4,32,0.6441016280729247,settle,13,0.6114749312400818
projection,4,32,0.6267060344552449,settle,11,0.6610055565834045
