window,n_items,mean_abs_diff_AB,mean_abs_diff_AC,ratio_AB_over_AC,p_perm,p_wilcoxon
0-12,12,0.01287442462688143,0.0068489980529358825,1.8797529985225643,0.004849757512124394,0.0068359375
12-24,12,0.010290556725330966,0.005890922002009864,1.7468499365328611,0.00039998000099995,0.00048828125
24-36,12,0.013649617851655367,0.006339943315598638,2.1529558187172095,0.0002999850007499625,0.00048828125
36-48,12,0.01375838144555351,0.006387782277012574,2.153858858819466,0.00014999250037498125,0.00048828125
