file,task,n_ops,num_steps,task_seed,arm,observed,null_mean,null_std,obs_minus_null,z,p_value,pr_real,pr_null
count_ones_n16_ns128_init0.npy,count_ones,16,128,0,real,0.6393301236769848,0.6456933125663197,0.0017148451087810545,-0.006363188889334848,-3.7106493506331466,1.0,39.704961928641595,46.353229774435704
count_ones_n16_ns128_init0.npy,count_ones,16,128,0,calibration,0.6424721042601013,0.6453660642165298,0.0017308923264074466,-0.0028939599564284935,-1.6719468405264999,0.96,46.49872993605848,46.18694633844225
count_ones_n16_ns128_init1.npy,count_ones,16,128,1,real,0.6478975789917147,0.6459318187359944,0.0017903898145226003,0.0019657602557203724,1.0979509823923645,0.12,52.217907881194975,60.01755067795898
count_ones_n16_ns128_init1.npy,count_ones,16,128,1,calibration,0.6455321257624548,0.6460874402229857,0.001956296436405807,-0.0005553144605309202,-0.2838600787675962,0.63,59.82726634542007,59.52196475316518
count_ones_n16_ns128_init2.npy,count_ones,16,128,2,real,0.38229946078858185,0.6157240946987486,0.0014975958223374971,-0.2334246339101667,-155.86624269946867,1.0,64.33330723800837,70.6786076801905
count_ones_n16_ns128_init2.npy,count_ones,16,128,2,calibration,0.6138140261033643,0.6157531235305749,0.0017293371362768631,-0.0019390974272105455,-1.12129519833552,0.86,70.15908069370563,69.64016232842938
count_ones_n16_ns128_init3.npy,count_ones,16,128,3,real,0.6412803256299684,0.6383890638995425,0.001937902491057195,0.0028912617304258648,1.4919541843658906,0.07,50.299662137613915,52.862997204860356
count_ones_n16_ns128_init3.npy,count_ones,16,128,3,calibration,0.6379316738861401,0.6382153496804536,0.0015505295499497007,-0.0002836757943134316,-0.1829541361031359,0.52,53.04045686542969,52.668123795134626
count_ones_n16_ns128_init4.npy,count_ones,16,128,4,real,0.6287641586207156,0.642975271038576,0.0019210492051157666,-0.014211112417860439,-7.39757856280628,1.0,52.52540494844071,62.33843642922082
count_ones_n16_ns128_init4.npy,count_ones,16,128,4,calibration,0.6442717971108324,0.6431571212781777,0.001940301961413702,0.0011146758326546768,0.574485752641576,0.25,62.437516354234404,61.73162125173356
count_ones_n16_ns64_init0.npy,count_ones,16,64,0,real,0.6219394341780049,0.6015166835237478,0.0011078998791140473,0.020422750654257138,18.433751135155436,0.0,20.93818089287498,21.972751902355668
count_ones_n16_ns64_init0.npy,count_ones,16,64,0,calibration,0.6008114257873334,0.6013181097586164,0.0011706934959240531,-0.0005066839712830618,-0.4328066851376204,0.7,22.183394176892936,22.01871700447849
count_ones_n16_ns64_init1.npy,count_ones,16,64,1,real,0.6253391850714615,0.608156541491352,0.001321774574027749,0.017182643580109458,12.999677795094833,0.0,16.55327171294923,18.905398284818478
count_ones_n16_ns64_init1.npy,count_ones,16,64,1,calibration,0.6074986339916881,0.6081139682899894,0.001146338881682071,-0.0006153342983012955,-0.5367821925383789,0.69,18.69955693824924,18.955490971367805
count_ones_n16_ns64_init2.npy,count_ones,16,64,2,real,0.6284070171337932,0.6123218084812955,0.0012183303374411708,0.01608520865249774,13.202666106370714,0.0,15.635658600275177,17.834646948430553
count_ones_n16_ns64_init2.npy,count_ones,16,64,2,calibration,0.6116976151251159,0.61203081888771,0.0013456990861977884,-0.0003332037625941586,-0.24760644189453285,0.63,17.989177411619274,17.885837590766073
count_ones_n16_ns64_init3.npy,count_ones,16,64,3,real,0.6267606091375072,0.6116120213146656,0.001263983978198689,0.015148587822841564,11.98479417787392,0.0,13.688497984777484,17.643398381288954
count_ones_n16_ns64_init3.npy,count_ones,16,64,3,calibration,0.6110532634181798,0.6116835800536081,0.0012438464730337455,-0.0006303166354283407,-0.5067479380240525,0.7,17.74548519170767,17.689226181864335
count_ones_n16_ns64_init4.npy,count_ones,16,64,4,real,0.6197287968919957,0.6058896026019812,0.0011084519668645295,0.013839194290014456,12.485154705585746,0.0,18.50838530309771,19.806700590110093
count_ones_n16_ns64_init4.npy,count_ones,16,64,4,calibration,0.6069232394563857,0.6060031784949235,0.0013807223482017056,0.0009200609614622435,0.6663620406090759,0.31,19.605349183101918,19.837299477006606
count_ones_n24_ns128_init0.npy,count_ones,24,128,0,real,0.6334763943401027,0.6420109259930661,0.0018337289536458413,-0.008534531652963362,-4.654194741264736,1.0,44.45453157465901,44.52453949574868
count_ones_n24_ns128_init0.npy,count_ones,24,128,0,calibration,0.6399015558760214,0.641886481662933,0.0016776908919450247,-0.001984925786911673,-1.183129619670556,0.89,45.11516144813449,44.376346822119494
