task,n_ops,num_steps,init_seed,variant,observed,null_mean,null_std,z_score,p_value
count_ones,16,128,0,W1_centroid,0.6393301236769856,0.6739976344783473,0.004577368917523513,-7.57367636867639,1.0
count_ones,16,128,0,W2_fixedpoint,2.591267136894015,0.414691693619101,0.34212554226270586,6.361920331582843,0.0
count_ones,16,128,0,W3_sphere,0.12538081979544058,0.9524786831300723,0.0031530255437031396,-262.31879566799466,1.0
count_ones,16,128,0,W4_turn2d_signed,1.6248365954058557,0.8087924260111672,0.612706689575592,1.3318675693910633,0.08
count_ones,16,128,0,W5_turnfull_unsigned,33.9954472896296,30.49989874079877,0.02280058662535557,153.30958831311736,0.0
count_ones,16,128,0,W6_pc23,1.12959045720815,1.230930384419788,0.004266540713697165,-23.752246611944788,1.0
count_ones,16,128,0,W7_absturn_fixedpt,8.905197916223813,1.4730842270978581,0.3954803348270873,18.792625156382147,0.0
count_ones,16,128,0,W8_absturn_centroid,0.814620542158965,0.6797584666535732,0.003629292360241333,37.159330833414586,0.0
count_ones,16,128,0,W9_windowed_maxnet,1.6787061878023275,0.498697031722845,0.25320839965748715,4.660229114340878,0.0
count_ones,16,128,1,W1_centroid,0.6478975789917101,0.6624538187820859,0.005068680897159767,-2.8718003925897904,1.0
count_ones,16,128,1,W2_fixedpoint,1.5732193191108383,0.3899596307084288,0.32352767905134683,3.657367715405319,0.0
count_ones,16,128,1,W3_sphere,1.0685938558275108,0.9539555761174461,0.002977276311241401,38.50441400995303,0.0
count_ones,16,128,1,W4_turn2d_signed,10.43611202007527,0.920489152026919,0.7195584470815395,13.224252882643254,0.0
count_ones,16,128,1,W5_turnfull_unsigned,35.144833834514884,30.496365874784146,0.024032617488802265,193.42329073795813,0.0
count_ones,16,128,1,W6_pc23,1.1638536152357992,1.2323918052583327,0.003398945299883532,-20.16454634467992,1.0
count_ones,16,128,1,W7_absturn_fixedpt,7.966846116821808,1.5176861439909723,0.449484103046308,14.347915597287347,0.0
count_ones,16,128,1,W8_absturn_centroid,0.8879905756004228,0.6690979902173101,0.004467783772861697,48.99354948928248,0.0
count_ones,16,128,1,W9_windowed_maxnet,1.473087701719841,0.4723507421522908,0.22007246091775637,4.547306625255294,0.0
