source,file,task,n_ops,num_steps,n_steps,regime_end,frac_signal,floor,cos_legacy,cos_regime,conv_rate_legacy,conv_rate_regime,dlr_legacy,dlr_regime,settle_legacy
"trajectories/ (convergence.csv, homology.csv)",track_n48_ns64_init0.npy,track,48,64,63,18,0.2857142857142857,0.9984500637149182,-0.32055873201214835,0.19425445908860314,-0.06978405373282114,-0.1689720898926082,12.240180717418209,4.001457848826282,13
"trajectories/ (convergence.csv, homology.csv)",track_n48_ns64_init1.npy,track,48,64,63,17,0.2698412698412698,0.9922776795479983,-0.31359658512934,0.13747031329133402,-0.06809957372439034,-0.1736858712335828,11.940267253875218,3.6583460748009804,14
"trajectories/ (convergence.csv, homology.csv)",track_n48_ns64_init2.npy,track,48,64,63,18,0.2857142857142857,1.013910625731859,-0.3160775785468619,0.2524566471390313,-0.06768827760370291,-0.1655337844316946,12.066815091656947,3.9046646300567693,13
"trajectories/ (convergence.csv, homology.csv)",local_n48_ns64_init0.npy,local,48,64,63,26,0.4126984126984127,1.0517440731591547,-0.22164140945559085,0.41761545446973863,-0.07118153868650663,-0.10210970824780359,11.470487243522655,5.322069075905595,13
"trajectories/ (convergence.csv, homology.csv)",local_n48_ns64_init1.npy,local,48,64,63,19,0.30158730158730157,1.1302817769479996,-0.17602941276857112,0.18162259403616646,-0.06358854441310535,-0.16241745506862357,11.67768136758023,4.108319596353068,13
"trajectories/ (convergence.csv, homology.csv)",local_n48_ns64_init2.npy,local,48,64,63,27,0.42857142857142855,1.1608346056557244,-0.08914245745876752,0.3982269730553659,-0.06785134908682677,-0.09801080518349486,11.110760061859041,5.319416794208127,14
"trajectories/ (convergence.csv, homology.csv)",track_n4_ns64_init0.npy,track,4,64,63,16,0.25396825396825395,1.076785045687552,-0.3375516125364207,0.08714798768873494,-0.06784074713444131,-0.19833267011070477,12.931108400009443,3.767584506980725,12
"trajectories/ (convergence.csv, homology.csv)",track_n4_ns64_init1.npy,track,4,64,63,17,0.2698412698412698,1.027020352378426,-0.3416526356170699,0.17183362191143872,-0.07111868551486564,-0.186631991242786,12.81954517561053,3.9611872475534233,13
"trajectories/ (convergence.csv, homology.csv)",track_n4_ns64_init2.npy,track,4,64,63,17,0.2698412698412698,0.9733424149403982,-0.3657616873890549,0.12518968843252434,-0.07390716654912406,-0.18639901113636603,11.822795749974295,3.5873577677849293,13
"trajectories/ (convergence.csv, homology.csv)",track_n48_ns16_init0.npy,track,48,16,15,8,0.5333333333333333,5.936057698500483,0.2449641532422943,0.03667786508059606,-0.18254402666302666,-0.19150366709749303,3.4095839075939094,2.153143505529577,13
