r,acc,acc_ref,better,tied,worse,n_fam,p_sign,arm,fmt,depth,n,contains_gold,contains_decoy,specificity,decoy_at_floor,out_len,n_preamble,n_plain,preamble_rate,med_rank_preamble,med_rank_plain,family,item,n_draws,final_rank_distinct,final_rank_spread,best_rank_distinct,best_rank_ratio,n_orbits,oracle_acc,best_fixed_acc,best_fixed_r,final_acc
2.0,0.10317460317460317,0.0615079365079365,10.0,9.0,2.0,21.0,0.03857421875,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.1388888888888889,0.0615079365079365,12.0,7.0,2.0,21.0,0.012939453125,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.16071428571428573,0.0615079365079365,14.0,6.0,1.0,21.0,0.0009765625,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.12698412698412698,0.0615079365079365,7.0,12.0,2.0,21.0,0.1796875,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,0.04960317460317461,0.0615079365079365,2.0,17.0,2.0,21.0,1.0,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.05952380952380952,0.0615079365079365,1.0,19.0,1.0,21.0,1.0,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,0.057539682539682536,0.0615079365079365,1.0,18.0,2.0,21.0,1.0,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,0.06746031746031746,0.0615079365079365,2.0,19.0,0.0,21.0,0.5,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,0.0615079365079365,0.0615079365079365,0.0,21.0,0.0,21.0,1.0,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,0.0615079365079365,0.0615079365079365,0.0,21.0,0.0,21.0,1.0,depth_sign_test,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,containment,bare,2.0,126.0,0.29365079365079366,0.15965608465608466,1.8392709196354597,False,18.984126984126984,,,,,,,,,,,,,,,,,
,,,,,,,,containment,bare,4.0,126.0,0.1984126984126984,0.11812169312169311,1.6797312430011198,False,16.103174603174605,,,,,,,,,,,,,,,,,
,,,,,,,,containment,bare,8.0,126.0,0.3412698412698413,0.05727513227513227,5.958429561200925,False,27.72222222222222,,,,,,,,,,,,,,,,,
,,,,,,,,containment,bare,16.0,126.0,0.4365079365079365,0.036243386243386244,12.043795620437956,False,26.61111111111111,,,,,,,,,,,,,,,,,
,,,,,,,,containment,bare,32.0,126.0,0.42857142857142855,0.02698412698412698,15.882352941176473,False,27.658730158730158,,,,,,,,,,,,,,,,,
,,,,,,,,containment,constrained,2.0,126.0,0.18253968253968253,0.10462962962962963,1.7446270543615676,False,14.468253968253968,,,,,,,,,,,,,,,,,
,,,,,,,,containment,constrained,4.0,126.0,0.16666666666666666,0.07182539682539683,2.3204419889502756,False,9.833333333333334,,,,,,,,,,,,,,,,,
,,,,,,,,containment,constrained,8.0,126.0,0.24603174603174602,0.05806878306878307,4.236902050113895,False,25.642857142857142,,,,,,,,,,,,,,,,,
,,,,,,,,containment,constrained,16.0,126.0,0.4444444444444444,0.06468253968253967,6.871165644171779,False,25.11904761904762,,,,,,,,,,,,,,,,,
,,,,,,,,containment,constrained,32.0,126.0,0.4523809523809524,0.07261904761904761,6.229508196721312,False,25.88095238095238,,,,,,,,,,,,,,,,,
,,,,,,,,preamble_split,,2.0,,,,,,,11.0,241.0,0.04365079365079365,157.0,10.0,,,,,,,,,,,,
,,,,,,,,preamble_split,,4.0,,,,,,,29.0,223.0,0.11507936507936507,13.0,5.0,,,,,,,,,,,,
,,,,,,,,preamble_split,,8.0,,,,,,,199.0,53.0,0.7896825396825397,9.0,8.0,,,,,,,,,,,,
,,,,,,,,preamble_split,,16.0,,,,,,,169.0,83.0,0.6706349206349206,8.0,7.0,,,,,,,,,,,,
,,,,,,,,preamble_split,,32.0,,,,,,,186.0,66.0,0.7380952380952381,7.0,7.5,,,,,,,,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,caesar1_word,0.0,10.0,4.0,3.0,10.0,1.2350494019760792,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,rot13_word,0.0,10.0,1.0,0.0,10.0,4.473625140291807,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,count16,0.0,10.0,1.0,0.0,7.0,2.125,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,local_last,0.0,10.0,1.0,0.0,1.0,1.0,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,parity8,0.0,10.0,1.0,0.0,2.0,2.0,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,count_mod3,0.0,10.0,1.0,0.0,5.0,6.0,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,add1,0.0,10.0,1.0,0.0,2.0,2.0,,,,,
,,,,,,,,h0_replicates,,,,,,,,,,,,,,echo_digit,0.0,10.0,1.0,0.0,1.0,1.0,,,,,
,,,,,,,,oracle_gap,,,,,,,,,,,,,,,,,,,,,504.0,0.3392857142857143,0.16071428571428573,5.0,0.061507936507936505
