active_len,neutral_len,irrelevant_len,seq_len,winding,steps_settle,answer_target
7,6,10,43,0.6410357303142535,15,7
7,6,10,43,0.6335341911956369,15,7
7,6,10,43,0.6137053397104398,15,7
7,9,0,36,0.6635614586006603,14,7
7,9,0,36,0.6523402355169677,13,7
7,9,0,36,0.6684060478244088,13,7
7,9,5,41,0.6294725874869496,15,7
7,9,5,41,0.369826461696673,23,7
7,9,5,41,0.6375633480164798,16,7
7,9,10,46,0.626202103667852,15,7
7,9,10,46,0.6337074522327562,15,7
7,9,10,46,0.6397318181421027,15,7
9,0,0,29,0.6570880262884694,13,9
9,0,0,29,0.6570879470290308,13,9
9,0,0,29,0.6570879729133263,13,9
9,0,5,34,0.6323634748828673,14,9
9,0,5,34,0.6406683153446358,14,9
9,0,5,34,0.6056524096961559,14,9
9,0,10,39,0.640793965401998,15,9
9,0,10,39,0.6588341660905175,14,9
9,0,10,39,0.5912325585978264,14,9
9,3,0,32,0.6584554867661645,12,9
9,3,0,32,0.6644761968291897,12,9
9,3,0,32,0.672111324725918,13,9
9,3,5,37,0.6296761780889711,15,9
9,3,5,37,0.6430391754941291,16,9
9,3,5,37,0.624680099401203,14,9
9,3,10,42,0.6588971270343249,16,9
9,3,10,42,0.6353710036822294,15,9
9,3,10,42,0.6401570999666456,15,9
9,6,0,35,0.6574760104560313,13,9
9,6,0,35,0.6637390453497,13,9
9,6,0,35,0.6546335130659917,14,9
9,6,5,40,0.6343014841016975,16,9
9,6,5,40,0.37137975176279153,24,9
9,6,5,40,0.6256229599143022,16,9
9,6,10,45,0.6433986464877778,15,9
9,6,10,45,0.6268010235893225,15,9
9,6,10,45,0.6238652573536583,16,9
9,9,0,38,0.6675809620043983,13,9
9,9,0,38,0.6558250389395552,13,9
9,9,0,38,0.6724586422054547,13,9
9,9,5,43,0.6308059245342501,15,9
9,9,5,43,0.6314572803420894,17,9
9,9,5,43,0.6224467279235328,15,9
9,9,10,48,0.6419900016594668,19,9
9,9,10,48,0.6211767676587114,14,9
9,9,10,48,0.6334201973464127,15,9
