target,features,acc,null_mean,null_max,chance
pair,residual,0.9769230769230769,0.31961538461538463,0.4076923076923077,0.3333333333333333
marker,residual,0.8692307692307693,0.4821153846153846,0.6692307692307692,0.5
marker,final state,1.0,0.5003846153846153,0.6076923076923076,0.5
